ID,Connections
5106,5106
6633,6196
7599,5462
4425,7743
2495,3940
6355,6355
8810,1800
8810,2495
8810,2926
8810,9235
8810,4162
8810,3940
3877,5844
1554,7743
1554,8575
1554,1386
1554,4425
7743,7743
7743,1554
7743,7944
7743,8575
7743,2169
7743,9929
7743,4755
7743,4350
7743,1386
8353,5844
2921,4108
2921,7539
2921,2869
2921,3515
2921,2921
2921,5051
2921,8896
2921,6836
2921,6196
2921,4425
7327,6073
7327,8397
7327,7040
7327,4755
5462,5046
5462,7599
5462,7128
5462,5462
9362,1050
9362,3799
9362,9362
7539,2869
7539,2921
7539,5051
1367,1651
6311,8984
6311,4386
6311,6311
4518,4518
9929,7743
9929,1554
9929,2169
9929,9929
9929,1386
7040,8397
7040,2169
7040,1958
7040,1050
7040,7040
7040,4755
7040,7327
5129,5844
2671,2671
2671,7128
5051,4108
5051,7539
5051,2869
5051,3515
5051,5051
4386,8984
4386,1800
4386,4386
4386,9235
5341,5844
3291,5844
4512,4512
4512,1050
7410,7410
7410,8397
7410,7944
7410,4755
7410,4350
4071,5844
6178,5844
5743,5844
1386,7743
1386,1554
1386,8575
1386,2169
1386,1958
1386,9929
1386,1386
8863,8863
8863,6355
